类型,链接,标题,内容
Proof,https://statproofbook.github.io//P/var-lincomb,Variance of linear combination,
Proof,https://statproofbook.github.io//P/var-add,Additivity under independence,
Proof,https://statproofbook.github.io//P/var-tot,Law of total variance,
Definition,https://statproofbook.github.io//D/prec,Precision,
Definition,https://statproofbook.github.io//D/cov,Definition,
Definition,https://statproofbook.github.io//D/cov-samp,Sample covariance,
Proof,https://statproofbook.github.io//P/cov-mean,Partition into expected values,
Proof,https://statproofbook.github.io//P/cov-symm,Symmetry,
Proof,https://statproofbook.github.io//P/cov-var,Self-covariance,
Proof,https://statproofbook.github.io//P/cov-ind,Covariance under independence,
Proof,https://statproofbook.github.io//P/cov-corr,Relationship to correlation,
Proof,https://statproofbook.github.io//P/cov-tot,Law of total covariance,
Definition,https://statproofbook.github.io//D/covmat,Covariance matrix,
Definition,https://statproofbook.github.io//D/covmat-samp,Sample covariance matrix,
Proof,https://statproofbook.github.io//P/covmat-mean,Covariance matrix and expected values,
Proof,https://statproofbook.github.io//P/covmat-symm,Symmetry,
Proof,https://statproofbook.github.io//P/covmat-psd,Positive semi-definiteness,
Proof,https://statproofbook.github.io//P/covmat-inv,Invariance under addition of vector,
Proof,https://statproofbook.github.io//P/covmat-scal,Scaling upon multiplication with matrix,
Definition,https://statproofbook.github.io//D/covmat-cross,Cross-covariance matrix,
Proof,https://statproofbook.github.io//P/covmat-sum,Covariance matrix of a sum,
Proof,https://statproofbook.github.io//P/covmat-corrmat,Covariance matrix and correlation matrix,
Definition,https://statproofbook.github.io//D/precmat,Precision matrix,
Proof,https://statproofbook.github.io//P/precmat-corrmat,Precision matrix and correlation matrix,
Definition,https://statproofbook.github.io//D/corr,Definition,
Proof,https://statproofbook.github.io//P/corr-range,Range,
Definition,https://statproofbook.github.io//D/corr-samp,Sample correlation coefficient,
Proof,https://statproofbook.github.io//P/corr-z,Relationship to standard scores,
Definition,https://statproofbook.github.io//D/corrmat,Correlation matrix,
Definition,https://statproofbook.github.io//D/corrmat-samp,Sample correlation matrix,
Definition,https://statproofbook.github.io//D/med,Median,
Definition,https://statproofbook.github.io//D/mode,Mode,
Definition,https://statproofbook.github.io//D/std,Standard deviation,
Definition,https://statproofbook.github.io//D/fwhm,Full width at half maximum,
Definition,https://statproofbook.github.io//D/min,Minimum,
Definition,https://statproofbook.github.io//D/max,Maximum,
Definition,https://statproofbook.github.io//D/mom,Moment,
Proof,https://statproofbook.github.io//P/mom-mgf,Moment in terms of moment-generating function,
Definition,https://statproofbook.github.io//D/mom-raw,Raw moment,
Proof,https://statproofbook.github.io//P/momraw-1st,First raw moment is mean,
Proof,https://statproofbook.github.io//P/momraw-2nd,Second raw moment and variance,
Definition,https://statproofbook.github.io//D/mom-cent,Central moment,
Proof,https://statproofbook.github.io//P/momcent-1st,First central moment is zero,
Proof,https://statproofbook.github.io//P/momcent-2nd,Second central moment is variance,
Definition,https://statproofbook.github.io//D/mom-stand,Standardized moment,
Definition,https://statproofbook.github.io//D/ent,Definition,
Proof,https://statproofbook.github.io//P/ent-nonneg,Non-negativity,
Proof,https://statproofbook.github.io//P/ent-conc,Concavity,
Definition,https://statproofbook.github.io//D/ent-cond,Conditional entropy,
Definition,https://statproofbook.github.io//D/ent-joint,Joint entropy,
Definition,https://statproofbook.github.io//D/ent-cross,Cross-entropy,
Proof,https://statproofbook.github.io//P/entcross-conv,Convexity of cross-entropy,
Proof,https://statproofbook.github.io//P/gibbs-ineq,Gibbs’ inequality,
Proof,https://statproofbook.github.io//P/logsum-ineq,Log sum inequality,
Definition,https://statproofbook.github.io//D/dent,Definition,
Proof,https://statproofbook.github.io//P/dent-neg,Negativity,
Proof,https://statproofbook.github.io//P/dent-inv,Invariance under addition,
Proof,https://statproofbook.github.io//P/dent-add,Addition upon multiplication,
Proof,https://statproofbook.github.io//P/dent-addvec,Addition upon matrix multiplication,
Proof,https://statproofbook.github.io//P/dent-noninv,Non-invariance and transformation,
Definition,https://statproofbook.github.io//D/dent-cond,Conditional differential entropy,
Definition,https://statproofbook.github.io//D/dent-joint,Joint differential entropy,
Definition,https://statproofbook.github.io//D/dent-cross,Differential cross-entropy,
Definition,https://statproofbook.github.io//D/mi,Definition,
Proof,https://statproofbook.github.io//P/dmi-mce,Relation to marginal and conditional entropy,
Proof,https://statproofbook.github.io//P/dmi-mje,Relation to marginal and joint entropy,
Proof,https://statproofbook.github.io//P/dmi-jce,Relation to joint and conditional entropy,
Definition,https://statproofbook.github.io//D/mi,Definition,
Proof,https://statproofbook.github.io//P/cmi-mcde,Relation to marginal and conditional differential entropy,
Proof,https://statproofbook.github.io//P/cmi-mjde,Relation to marginal and joint differential entropy,
Proof,https://statproofbook.github.io//P/cmi-jcde,Relation to joint and conditional differential entropy,
Definition,https://statproofbook.github.io//D/kl,Definition,
Proof,https://statproofbook.github.io//P/kl-nonneg,Non-negativity,
Proof,https://statproofbook.github.io//P/kl-nonneg2,Non-negativity,
Proof,https://statproofbook.github.io//P/kl-nonsymm,Non-symmetry,
Proof,https://statproofbook.github.io//P/kl-conv,Convexity,
Proof,https://statproofbook.github.io//P/kl-add,Additivity for independent distributions,
Proof,https://statproofbook.github.io//P/kl-inv,Invariance under parameter transformation,
Proof,https://statproofbook.github.io//P/kl-ent,Relation to discrete entropy,
Proof,https://statproofbook.github.io//P/kl-dent,Relation to differential entropy,
Definition,https://statproofbook.github.io//D/mse,Mean squared error,
Proof,https://statproofbook.github.io//P/mse-bnv,Partition of the mean squared error into bias and variance,
Definition,https://statproofbook.github.io//D/ci,Confidence interval,
Proof,https://statproofbook.github.io//P/ci-wilks,Construction of confidence intervals using Wilks’ theorem,
Definition,https://statproofbook.github.io//D/lf,Likelihood function,
Definition,https://statproofbook.github.io//D/llf,Log-likelihood function,
Definition,https://statproofbook.github.io//D/mle,Maximum likelihood estimation,
Proof,https://statproofbook.github.io//P/mle-bias,MLE can be biased,
Definition,https://statproofbook.github.io//D/mll,Maximum log-likelihood,
Definition,https://statproofbook.github.io//D/mome,Method of moments,
Definition,https://statproofbook.github.io//D/hyp,Statistical hypothesis,
Definition,https://statproofbook.github.io//D/hyp-simp,Simple vs. composite,
Definition,https://statproofbook.github.io//D/hyp-point,Point/exact vs. set/inexact,
Definition,https://statproofbook.github.io//D/hyp-tail,One-tailed vs. two-tailed,
Definition,https://statproofbook.github.io//D/test,Statistical test,
Definition,https://statproofbook.github.io//D/h0,Null hypothesis,
Definition,https://statproofbook.github.io//D/h1,Alternative hypothesis,
Definition,https://statproofbook.github.io//D/test-tail,One-tailed vs. two-tailed,
Definition,https://statproofbook.github.io//D/tstat,Test statistic,
Definition,https://statproofbook.github.io//D/size,Size of a test,
Definition,https://statproofbook.github.io//D/power,Power of a test,
Definition,https://statproofbook.github.io//D/alpha,Significance level,
Definition,https://statproofbook.github.io//D/cval,Critical value,
Definition,https://statproofbook.github.io//D/pval,p-value,
Proof,https://statproofbook.github.io//P/pval-h0,Distribution of p-value under null hypothesis,
Definition,https://statproofbook.github.io//D/gm,Generative model,
